Nombre,Alias,Empresa matriz,Estado,Cliente,Proveedor,Fecha de creación,Última fecha de modificación,Código de cliente,Código de proveedor,Código contable,Código contable proveedor,Dirección,Código postal,Ciudad,Estado/Provincia,Región,País,Código de país,Teléfono,Fax,Url,Correo,Idioma predeterminado,Canvas,ID Profesional 1,ID Profesional 2,ID Profesional 3,ID Profesional 4,ID Profesional 5,ID Profesional 6,ID de IVA,Capital,Nota (privada),Nota (pública),Tipo de tercero,Empleados,Tipo de entidad comercial,Cliente potencial,Estatus del cliente potencial,Condiciones de pago,Tipo de pago,Importe máximo para facturas pendientes,Cuenta bancaria de pago,Incoterms
ARGOS ELECTRICA SA DE CV,,,1,1,0,2021-06-11 16:08:10,2021-07-16 07:54:14,CU2106-00001,,,,AV. DE LA LUZ # 67 PARQUE INDUSTRIAL DE LA LUZ.,54716,CUAUTITLAN IZCALLI,MEX,Mexique,Mexique,MX,55-2620-9900,,argoselectrica.com,,,,AEL571218 HP7,,,,,,,,,,Grand groupe,,,,0,1,,,,
AIRWORKING SA DE CV,,,1,1,0,2021-06-11 16:53:46,2021-07-14 09:13:49,CU2106-00002,,,,CAFETAL # 497,8400,CDMX,CMX,Mexique,Mexique,MX,55-5358-7740,,airworking.com.mx,,,,AIR100303LJ2,,,,,,,,,,Grand groupe,,,,0,2,,,,
ALTEC MOTORES,,,1,1,0,2021-06-11 17:04:54,2021-07-16 07:53:57,CU2106-00003,,,1,CONVENTO DE ACTOPAN 92-A JARDINES DE SANTA MONICA,54050,TLALNEPANTLA,MEX,Mexique,Mexique,MX,55-1742-1644,,www.altecmotores.mx,,,,MOOA720516HF8,,,,,,,,,,Particulier,,,,0,2,,,,
ALTA TECNOLOGIA EN TUBOS DE CARTON SA DE CV,ATTECSA,,1,1,0,2021-06-11 17:25:25,2021-07-16 07:53:33,CU2106-00004,,,,AV.INDUSTRIA 100 LOS REYES,54050,TLALNEPANTLA,MEX,Mexique,Mexique,MX,55-2487-3350EXT1023,,attecsa.com,compras@attecsa.com,,,ATT100303IB7,,,,,,,,,,Grand groupe,,,,0,,,,,
ADS MEXICANA,,,1,1,0,2021-06-11 18:04:50,2021-07-14 08:48:06,CU2106-00005,,,,CARRETERA VILLA DE GARCIA KM 0.8 SANTA CATARINA,66370,SANTA CATARINA,NLE,Mexique,Mexique,MX,81-8625-4500,,adsmexicana.com,,,,AME9903124M9,,,,,,,,,,Grand groupe,,,,0,8,,,,
ABB,,,1,0,1,2021-06-11 18:15:01,2021-06-16 08:37:13,,SU2106-00001,,,PASEO DE LAS AMERICA # 31,53125,NAUCALPAN,MEX,Mexique,Mexique,MX,55-3601-9508,,abb.com.mx,,,,,,,,,,,,,,,,,,0,,,,,
AEG SYSTEMS,,,1,0,1,2021-06-11 18:36:33,2021-06-16 09:26:10,,SU2106-00002,,,AGUSTIN DE ITURBIDE # 18B,62556,JIUTEPEC,MOR,Mexique,Mexique,MX,777-321-5500,,aeg-systems.com,ventas@aeg-systems.com,,,ASY080811LF1,,,,,,,,,,,,,,0,,,,,
AMATS SA DE CV,,,1,0,1,2021-06-11 18:43:34,2021-06-16 09:56:59,,SU2106-00003,,,ANAXAGORAS #40/3,3020,BENITO JUAREZ,CMX,Mexique,Mexique,MX,722-541-4584,,amats.com.mx,,,,AEL120607QV0,,,,,,,,,,,,,,0,,,,,
AXALTA COATING SYSTEMS MEXICO S DE RL DE CV.,,,1,1,0,2021-06-11 18:57:53,2021-07-16 07:55:10,CU2106-00006,,,,INDUSTRIA ELECTRICA #10 INDUSTRIAL BARRIENTOS,54015,TLALNEPANTLA,MEX,Mexique,Mexique,MX,55-5366-4656,,axalta.com,,,,BAI860402BD8,,,,,,,,,,Grand groupe,,,,0,,,,,
BAG CORP FABRICS DE MEXICO S DE RL DE CV,,,1,1,0,2021-06-11 19:09:45,2021-07-16 07:55:57,CU2106-00007,,,,BLVD.ARQ.CARLOS LAZO #201 COL. EL FRAILE MATEHUALA,78760,MATEHUALA,SLP,Mexique,Mexique,MX,488-8829-700,,bagcorp.com,,,,PFM950711RL9,,,,,,,,,,Grand groupe,,,,0,8,,,,
BONLAM SA DE CV,BERRY GLOBAL,,1,1,0,2021-06-11 20:42:04,2021-07-16 07:56:20,CU2106-00008,,,,EJE 128 #145 ZONA INDUSTRIAL SAN LUIS POTOSI,78395,SAN LUIS POTOSI,SLP,Mexique,Mexique,MX,444-826-6113,,berryglobal.com,,,,BON890526CT8,,,,,,,,,,Grand groupe,,,,0,,,,,
COMPONENTES ELECTRONICOS INDUSTRIALES DE POTENCIA SA DE CV,CEIPSA,,1,0,1,2021-06-11 20:50:16,2021-06-16 10:48:45,,SU2106-00004,,,CALZADA DE LOS MISTERIOS # 386 INDUSTRIAL GUSTAVO A. MADERO,7800,GUSTAVO A. MADERO,CMX,Mexique,Mexique,MX,55-5759-5461,,ceipsa.com,,,,CEI0605197NA,,,,,,,,,,,,,,0,,,,,
CONSORCIO OPERADOR DE ATOTONILCO SA DE CV,COA,,1,1,0,2021-06-11 21:28:41,2021-07-16 07:57:33,CU2106-00009,,,,AV. PASEO DE LAS PALMAS #781 PISO 1 LOMAS DE CHAPULTEPEC III SECCION,11000,MIGUEL HIDALGO,CMX,Mexique,Mexique,MX,55-5435-7708,,,,,,COA150923HQ3,,,,,,,,,,Grand groupe,,,,0,2,,,,
COPAMEX CORRUGADOS SA DE CV,,,1,1,0,2021-06-11 21:44:26,2021-07-16 08:07:23,CU2106-00010,,,,PONIENTE 134 # 649 COL INDUSTRIAL VALLEJO,2300,AZCAPOTZALCO,CMX,Mexique,Mexique,MX,55-5002-82-00,EXT8230,copamexcorrugados.com,,,,CCO010402750,,,,,,,,,,Grand groupe,,,,0,,,,,
CROWN ENVASES DE MEXICO SA DE CV,,,1,1,0,2021-06-11 21:59:37,2021-07-16 08:07:39,CU2106-00011,,,,ALFONSO REYES #2239 NTE. COL. 15 DE MAYO (LARRALDE),64450,MONTERREY,NL,Mexique,Mexique,MX,55-5747-4189,,crowncork.com,,,,CEM9105179U3,,,,,,,,,,Grand groupe,,,,0,2,,,,
CURACRETO SA DE CV,,,1,1,0,2021-06-11 22:07:22,2021-07-16 08:07:59,CU2106-00012,,,,AV.1o DE MAYO #8 LOCAL A TACUBAYA,11870,MIGUEL HIDALGO,CMX,Mexique,Mexique,MX,55-5611-2023,,curacreto.com.mx,,,,CUR860530AT6,,,,,,,,,,Grand groupe,,,,0,8,,,,
"DISTRIBUIDORA ELECTRICA, MANTENIMIENTO AUTOMATIZACION S. A. DE C.V.",DEMIA,,1,0,1,2021-06-11 22:33:17,2021-06-17 07:19:20,,SU2106-00005,,,HECTOR ESPINOZA GALVAN # 524 INT 2 COL ESCUADRON 201,9060,IZTAPALAPA,CMX,Mexique,Mexique,MX,55-5783-8734,,demia.com.mx,,,,DEM1405085H3,,,,,,,,,,,,,,0,,,,,
DIGITEC PARTS,,,1,0,1,2021-06-11 22:39:37,2021-06-17 07:05:36,,SU2106-00006,,,COLINA DE LA ILUSION #29 COL BOULEVARES,53140,NAUCALPAN,MEX,Mexique,Mexique,MX,(55)-5351-3679,,digitecparts.com,,,,GUDA601018C94,,,,,,,,,,,,,,0,,,,,
DISTRIBUIDORA DE MAQUINARIA METALMECANICA SA DE CV,DISMA,,1,1,0,2021-06-11 22:50:18,2021-07-16 08:10:55,CU2106-00013,,,,BLVD.BERNARDO QUINTANA # 248 INTERIOR #120 COL. SANTA MARIA,,QUERETARO,QRO,Mexique,Mexique,MX,55-5527-2555,,disma.mx,,,,DMM081031GE0,,,,,,,,,,Grand groupe,,,,0,8,2,,,
NEW DYNACAST DE MEXICO SA DE CV.,,,1,1,0,2021-06-14 14:53:20,2021-06-17 15:18:35,CU2106-00014,,,,AV. TECOJOTES LOTE 77-A INT-2A SAN MARTIN OBISPO PARQUE INDUSTRIAL SAN MARTIN OBISPO,54763,CUAUTITLAN IZCALLI,MEX,Mexique,Mexique,MX,55-5899-9690EXT225,,dynacast.com,,,,NDM000417QA9,,,,,,,,,,,,,,0,2,2,,,
